session_id,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,user_id
0,192,574,133,3,133,133,3,133,203,133,31
1,415,193,674,254,133,31,393,3305,217,55,31
2,55,3,55,55,5,293,415,333,897,55,31
3,473,3306,473,55,55,55,55,937,199,123,31
4,342,55,5,3307,258,211,3308,2086,675,2086,31
5,226,675,211,211,55,55,128,172,3309,3310,31
6,350,574,133,3,133,31,133,393,192,133,31
7,262,3311,1550,393,55,3,55,3,199,123,31
8,55,333,106,203,1243,513,55,809,106,5,31
9,1007,350,3312,350,3313,534,601,601,534,602,31
10,602,172,172,463,2,2,6,3,2,2575,31
11,2575,3314,3315,2087,160,160,117,90,2,90,31
12,108,561,603,18,44,108,384,17,90,2088,31
13,90,733,5,101,22,1244,1244,90,561,31,31
14,20,31,20,90,5,117,6,3,2,2,31
15,54,2,62,86,54,86,62,54,62,142,31
16,54,62,54,142,61,61,61,61,366,310,31
17,310,366,310,1072,366,1373,1373,1072,310,366,31
18,98,98,310,366,2576,310,1245,1152,1245,310,31
19,2576,1152,1245,1245,310,366,310,366,1152,310,31
20,366,366,1373,3,310,366,2,1373,464,1779,31
21,366,310,3,851,310,2,464,575,851,366,31
22,310,851,310,575,1072,366,851,310,575,1780,31
23,2089,366,310,464,851,851,310,464,575,464,31
24,575,310,575,2090,810,575,310,575,851,464,31
25,575,366,310,464,575,464,310,464,575,575,31
26,851,464,464,464,193,464,674,464,342,128,31
27,464,464,464,575,464,293,575,1374,43,463,31
28,2,2,3,6,2,1781,245,1781,588,1782,31
29,128,203,1374,212,5,588,1781,513,1551,588,31
30,1781,2577,170,170,2,3,6,1783,2,3,31
31,1783,106,1783,1783,366,310,310,366,1373,310,31
32,1375,1072,310,464,1779,366,1245,310,1152,1152,31
33,1245,310,366,464,464,310,310,366,310,1072,31
34,366,310,464,310,1780,464,2089,464,366,464,31
35,464,310,464,2090,575,464,464,464,87,5,31
36,464,87,574,133,3,133,31,3,133,133,31
37,393,3316,938,938,55,3,55,3,55,106,31
38,1552,173,3317,3318,55,3,55,199,123,55,31
39,55,3319,3320,258,852,258,350,350,852,767,31
40,3,55,55,193,55,3321,211,3322,211,258,31
41,258,3323,767,226,226,534,534,55,55,3,31
42,55,55,3,415,106,1784,3324,3325,1246,55,31
43,3,55,55,55,3326,3327,604,604,226,55,31
44,55,853,3,415,473,473,3328,55,55,3,31
45,55,55,415,55,55,3329,3,55,199,123,31
46,31,734,3330,251,2578,3331,898,55,3,55,31
47,193,310,366,366,310,1072,366,1779,899,899,31
48,899,310,310,1072,366,310,1780,2089,899,899,31
49,899,899,899,575,366,2090,899,575,310,55,31
50,575,899,899,574,133,3,133,199,123,31,31
51,1247,133,1553,3332,393,133,1247,133,3333,55,31
52,3,55,393,55,55,3334,562,562,3335,605,31
53,367,258,258,604,604,199,55,123,415,106,31
54,203,342,172,1007,333,1243,106,513,809,3336,31
55,3337,211,211,211,416,416,1376,735,1376,735,31
56,853,55,133,417,574,3,133,133,199,123,31
57,31,133,3338,217,217,1073,393,3,55,199,31
58,123,55,293,900,2091,394,3339,854,3340,675,31
59,675,367,367,394,367,394,394,394,394,55,31
60,55,199,123,5,674,193,128,3341,3342,534,31
61,226,534,226,643,643,217,217,55,55,2092,31
62,55,106,1243,245,513,55,3343,3344,939,1377,31
63,3345,939,1377,939,350,350,606,606,55,217,31
64,217,416,133,133,3346,393,55,55,55,394,31
65,900,55,123,415,199,55,55,473,55,3347,31
66,217,3348,217,55,767,55,123,55,199,193,31
67,106,128,293,106,173,1554,1555,55,333,3349,31
68,1785,3350,1785,226,854,211,211,55,199,123,31
69,415,3351,226,3352,226,55,415,674,203,5,31
70,55,172,417,2,463,2,2,2,6,3,31
71,2,3,6,2,940,2,2093,768,2093,417,31
72,417,192,2,463,2,6,2,3,6,2,31
73,3,4,10,10,4,3,6,3,4,4,31
74,21,10,6,27,4,10,4,4,9,3,31
75,30,6,10,21,27,33,30,115,9,9,31
76,4,115,23,4,33,6,4,9,4,115,31
77,6,23,9,192,417,417,192,2,6,3,31
78,3,6,2,2,2,6,2,3,62,54,31
79,2,6,3,54,62,86,54,62,142,54,31
80,142,62,2,2,2,88,2,574,133,3,31
81,3,133,199,123,55,3,55,3353,3354,199,31
82,123,55,3,128,193,3355,226,3356,226,643,31
83,217,217,55,55,574,133,3,133,3,123,31
84,199,55,3,55,333,5,193,342,55,55,31
85,5,674,465,293,203,3357,55,3358,367,3359,31
86,605,605,367,226,226,1073,767,350,767,350,31
87,562,562,192,2,6,3,2,2094,3,2094,31
88,2094,3,6,574,133,2,133,3,61,61,31
89,3360,548,41,61,19,38,13,19,13,38,31
90,133,31,14,3361,38,1,13,246,605,13,31
91,14,19,19,38,226,6,14,13,393,1,31
92,13,38,855,13,19,137,13,1,19,137,31
93,8,855,13,14,1,14,535,19,38,3,31
94,1,19,13,6,6,535,13,19,1,6,31
95,75,75,1,1,1,14,1,14,14,19,31
96,75,14,1,75,1,14,14,14,1,14,31
97,1,14,14,1,14,14,1,14,1,14,31
98,75,14,1,14,1,14,14,13,14,6,31
99,55,3,55,55,199,123,415,465,106,5,31
100,106,3362,245,173,55,3363,258,3364,562,258,31
101,562,172,172,43,2,6,3,86,62,142,31
102,2,54,54,86,54,54,54,6,3,2,31
103,2,2,2095,2,2,3,574,133,3,133,31
104,133,133,199,123,55,3,55,123,199,55,31
105,193,128,55,3365,226,3366,2096,226,562,1556,31
106,2,6,3,2,6,3,148,148,18,6,31
107,148,17,5,44,5,3,148,3,6,1153,31
108,148,148,3,148,148,148,148,10,148,10,31
109,148,148,148,148,148,148,148,148,148,148,31
110,148,148,10,148,148,148,148,148,148,148,31
111,148,148,148,148,148,13,38,19,148,148,31
112,148,148,148,148,148,148,148,148,148,148,31
113,148,148,148,148,148,148,148,148,148,148,31
114,148,148,148,148,148,148,148,148,148,148,31
115,148,148,148,148,148,148,148,148,148,148,31
116,148,148,148,148,148,148,148,148,148,148,31
117,148,148,148,148,148,246,148,148,148,148,31
118,148,148,148,148,148,148,148,148,148,148,31
119,148,148,148,148,148,2,6,3,237,6,31
120,88,237,2,3,38,13,19,3,6,88,31
121,237,38,19,13,237,426,359,359,426,74,31
122,1154,901,1248,3367,1248,1249,237,426,359,504,31
123,1248,736,1154,359,426,3368,74,1376,74,74,31
124,74,74,74,359,74,74,74,74,74,74,31
125,74,2579,359,901,504,901,74,74,74,359,31
126,1249,2579,504,74,74,737,576,856,1786,74,31
127,74,1249,74,74,74,426,359,1787,426,359,31
128,375,44,18,17,375,5,375,5,3369,375,31
129,1788,1788,359,74,1787,359,74,74,74,74,31
130,74,74,74,74,74,74,74,74,74,74,31
131,74,74,74,74,74,74,74,237,74,74,31
132,74,74,74,74,74,74,74,74,74,74,31
133,74,74,74,74,74,74,74,74,74,74,31
134,74,74,74,74,237,1557,31,6,6,22,31
135,5,452,1557,17,18,44,31,6,1557,130,31
136,644,5,22,1557,44,6,53,6,5,1557,31
137,20,20,10,20,20,10,2,6,3,2,31
138,2580,2580,6,3,237,2,53,237,237,44,31
139,1378,1379,227,2097,1378,22,1379,227,1379,1378,31
140,6,10,5,18,1379,1074,1378,17,5,1074,31
141,6,20,13,19,1378,1074,1378,237,237,88,31
142,3,237,1249,237,13,237,244,738,1380,738,31
143,44,17,18,769,6,6,738,1375,6,333,31
144,342,674,5,2581,5,536,173,418,625,1155,31
145,173,293,10,625,173,10,3370,173,738,20,31
146,20,172,20,88,3,13,237,237,902,707,31
147,3371,419,419,770,1789,419,17,18,203,22,31
148,419,2098,1789,5,1558,419,20,6,2,3,31
149,2,514,6,1250,514,6,17,2582,18,1250,31
150,514,1250,1250,514,1250,1790,170,2099,857,514,31
151,1008,453,170,1250,5,1250,170,193,514,514,31
152,514,514,393,514,514,514,393,514,207,17,31
153,514,5,207,18,514,514,514,514,514,514,31
154,514,514,514,514,514,514,514,2,2,1075,31
155,1075,31,3,1075,5,22,1075,207,3372,31,31
156,1075,207,6,941,207,207,395,941,207,207,31
157,20,20,10,10,1075,207,207,395,941,739,31
158,207,237,2,2,3373,5,326,18,17,2583,31
159,106,22,6,5,2,227,3374,3375,106,2583,31
160,2584,2585,2584,2585,5,6,5,3376,10,10,31
161,326,13,38,19,20,20,395,2,207,1075,31
162,5,1075,207,6,20,1075,2586,207,186,376,31
163,385,941,515,376,607,207,608,5,395,186,31
